id,name,description,image_url,kcals_per_serving
1962,"'CAMPBELL'S CHUNKY SOUPS,SAVORY VEG SOUP'","'CAMPBELL'S CHUNKY SOUPS,SAVORY VEG SOUP'",,44
1963,"'CAMPBELL'S CHUNKY SOUPS,SLOW RSTD BF W/ MUSHROOMS SOUP'","'CAMPBELL'S CHUNKY SOUPS,SLOW RSTD BF W/ MUSHROOMS SOUP'",,48
1964,"'CAMPBELL'S CHUNKY SOUPS,SPLIT PEA 'N' HAM SOUP'","'CAMPBELL'S CHUNKY SOUPS,SPLIT PEA 'N' HAM SOUP'",,78
1965,"'CAMPBELL'S CHUNKY SOUPS,STEAK 'N' POTATO SOUP'","'CAMPBELL'S CHUNKY SOUPS,STEAK 'N' POTATO SOUP'",,49
1966,"'CAMPBELL'S CHUNKY,CLASSIC CHICK NOODLE SOUP'","'CAMPBELL'S CHUNKY,CLASSIC CHICK NOODLE SOUP'",,47
1967,"'CAMPBELL'S CHUNKY,CREAMY CHICK & DUMPLINGS SOUP'","'CAMPBELL'S CHUNKY,CREAMY CHICK & DUMPLINGS SOUP'",,66
1968,"'CAMPBELL'S CHUNKY,HEALTHY REQUEST CHICK NOODLE SOUP'","'CAMPBELL'S CHUNKY,HEALTHY REQUEST CHICK NOODLE SOUP'",,41
1969,"'CAMPBELL'S CHUNKY,NEW ENGLAND CLAM CHOWDER'","'CAMPBELL'S CHUNKY,NEW ENGLAND CLAM CHOWDER'",,81
1970,'CAMPBELL'S COUNTRY STYLE CRM GRAVY','CAMPBELL'S COUNTRY STYLE CRM GRAVY',,76
1971,'CAMPBELL'S COUNTRY STYLE SAUSAGE GRAVY','CAMPBELL'S COUNTRY STYLE SAUSAGE GRAVY',,119
1972,'CAMPBELL'S FAT FREE BF GRAVY','CAMPBELL'S FAT FREE BF GRAVY',,25
1973,'CAMPBELL'S FAT FREE CHICK GRAVY','CAMPBELL'S FAT FREE CHICK GRAVY',,25
1974,'CAMPBELL'S FAT FREE TURKEY GRAVY','CAMPBELL'S FAT FREE TURKEY GRAVY',,33
1975,'CAMPBELL'S GOLDEN PORK GRAVY','CAMPBELL'S GOLDEN PORK GRAVY',,76
1976,"'CAMPBELL'S HEALTHY REQUEST,CHICK NOODLE SOUP,COND'","'CAMPBELL'S HEALTHY REQUEST,CHICK NOODLE SOUP,COND'",,47
1977,"'CAMPBELL'S HEALTHY REQUEST,CRM OF CHICK SOUP,COND'","'CAMPBELL'S HEALTHY REQUEST,CRM OF CHICK SOUP,COND'",,50
1978,"'CAMPBELL'S HEALTHY REQUEST,CRM OF MUSHROOM SOUP,COND'","'CAMPBELL'S HEALTHY REQUEST,CRM OF MUSHROOM SOUP,COND'",,55
1979,"'CAMPBELL'S HEALTHY REQUEST,HOMESTYLE CHICK NOODLE SOUP,COND'","'CAMPBELL'S HEALTHY REQUEST,HOMESTYLE CHICK NOODLE SOUP,COND'",,51
1980,'CAMPBELL'S HOMESTLYE LT NEW ENGLAND CLAM CHOWDER','CAMPBELL'S HOMESTLYE LT NEW ENGLAND CLAM CHOWDER',,49
1981,'CAMPBELL'S HOMESTYLE BUTTERNUT SQUASH BISQUE','CAMPBELL'S HOMESTYLE BUTTERNUT SQUASH BISQUE',,45
1982,'CAMPBELL'S HOMESTYLE CHICK W/ WHITE & WILD RICE SOUP','CAMPBELL'S HOMESTYLE CHICK W/ WHITE & WILD RICE SOUP',,41
1983,'CAMPBELL'S HOMESTYLE HARVEST TOMATO W/ BASIL SOUP','CAMPBELL'S HOMESTYLE HARVEST TOMATO W/ BASIL SOUP',,45
1984,'CAMPBELL'S HOMESTYLE HR CHICK W/ WHL GRAIN PASTA SOUP','CAMPBELL'S HOMESTYLE HR CHICK W/ WHL GRAIN PASTA SOUP',,40
1985,'CAMPBELL'S HOMESTYLE HR MEXICAN STYLE CHICK TORTILLA','CAMPBELL'S HOMESTYLE HR MEXICAN STYLE CHICK TORTILLA',,53
1986,'CAMPBELL'S HOMESTYLE ITALIAN-STYLE WEDDING SOUP','CAMPBELL'S HOMESTYLE ITALIAN-STYLE WEDDING SOUP',,49
1987,'CAMPBELL'S HOMESTYLE LT ITALIAN-STYLE WEDDING SOUP','CAMPBELL'S HOMESTYLE LT ITALIAN-STYLE WEDDING SOUP',,33
1988,'CAMPBELL'S HOMESTYLE MEXICAN STYLE CHICK TORTILLA SOUP','CAMPBELL'S HOMESTYLE MEXICAN STYLE CHICK TORTILLA SOUP',,53
1989,"'CAMPBELL'S HOMESTYLE MICROWAVEABLE BOWLS,HEALTHY REQUEST ITA'","'CAMPBELL'S HOMESTYLE MICROWAVEABLE BOWLS,HEALTHY REQUEST ITA'",,41
1990,"'CAMPBELL'S HOMESTYLE MICROWAVEABLE BOWLS,HEALTHY REQUEST MEX'","'CAMPBELL'S HOMESTYLE MICROWAVEABLE BOWLS,HEALTHY REQUEST MEX'",,53
1991,'CAMPBELL'S HOMESTYLE MINESTRONE SOUP','CAMPBELL'S HOMESTYLE MINESTRONE SOUP',,41
1992,'CAMPBELL'S HOMESTYLE NEW ENGLAND CLAM CHOWDER','CAMPBELL'S HOMESTYLE NEW ENGLAND CLAM CHOWDER',,70
1993,'CAMPBELL'S HOMESTYLE POTATO BROCCOLI CHS SOUP','CAMPBELL'S HOMESTYLE POTATO BROCCOLI CHS SOUP',,65
1994,'CAMPBELL'S HOMESTYLE VEG MEDLEY SOUP','CAMPBELL'S HOMESTYLE VEG MEDLEY SOUP',,37
1995,"'CAMPBELL'S LO NA SOUPS,CHICK BROTH'","'CAMPBELL'S LO NA SOUPS,CHICK BROTH'",,10
1996,"'CAMPBELL'S LO NA SOUPS,CHICK W/ NOODLES SOUP'","'CAMPBELL'S LO NA SOUPS,CHICK W/ NOODLES SOUP'",,52
1997,"'CAMPBELL'S LO NA SOUPS,CRM OF MUSHROOM SOUP'","'CAMPBELL'S LO NA SOUPS,CRM OF MUSHROOM SOUP'",,54
1998,'CAMPBELL'S MICROWAVABLE BF GRAVY','CAMPBELL'S MICROWAVABLE BF GRAVY',,42
1999,'CAMPBELL'S MICROWAVABLE CHICK GRAVY','CAMPBELL'S MICROWAVABLE CHICK GRAVY',,67
2000,'CAMPBELL'S MICROWAVABLE TURKEY GRAVY','CAMPBELL'S MICROWAVABLE TURKEY GRAVY',,42
2001,'CAMPBELL'S MUSHROOM GRAVY','CAMPBELL'S MUSHROOM GRAVY',,34
2002,'CAMPBELL'S PORK & BNS','CAMPBELL'S PORK & BNS',,108
2003,"'CAMPBELL'S RED & WHITE - MCRWVEABLE BOWLS,CHICK NOODLE SOUP'","'CAMPBELL'S RED & WHITE - MCRWVEABLE BOWLS,CHICK NOODLE SOUP'",,30
2004,"'CAMPBELL'S RED & WHITE - MCRWVEABLE BOWLS,CREAMY TOMATO SOUP'","'CAMPBELL'S RED & WHITE - MCRWVEABLE BOWLS,CREAMY TOMATO SOUP'",,64
2005,"'CAMPBELL'S RED & WHITE - MICROWAVEABLE BOWLS,CHICK RICE SOUP'","'CAMPBELL'S RED & WHITE - MICROWAVEABLE BOWLS,CHICK RICE SOUP'",,30
2006,"'CAMPBELL'S RED & WHITE - MICROWAVEABLE BOWLS,TOMATO SOUP'","'CAMPBELL'S RED & WHITE - MICROWAVEABLE BOWLS,TOMATO SOUP'",,44
2007,"'CAMPBELL'S RED & WHITE - MICROWAVEABLE BOWLS,VEG BF SOUP'","'CAMPBELL'S RED & WHITE - MICROWAVEABLE BOWLS,VEG BF SOUP'",,34
2008,"'CAMPBELL'S RED & WHITE,BEAN W/ BACON SOUP,COND'","'CAMPBELL'S RED & WHITE,BEAN W/ BACON SOUP,COND'",,125
2009,"'CAMPBELL'S RED & WHITE,BEEFY MUSHROOM SOUP,COND'","'CAMPBELL'S RED & WHITE,BEEFY MUSHROOM SOUP,COND'",,40
2010,"'CAMPBELL'S RED & WHITE,BF BROTH,COND'","'CAMPBELL'S RED & WHITE,BF BROTH,COND'",,12
2011,"'CAMPBELL'S RED & WHITE,BF NOODLE SOUP,COND'","'CAMPBELL'S RED & WHITE,BF NOODLE SOUP,COND'",,56
2012,"'CAMPBELL'S RED & WHITE,BF W/ VEG & BARLEY SOUP,COND'","'CAMPBELL'S RED & WHITE,BF W/ VEG & BARLEY SOUP,COND'",,71
2013,"'CAMPBELL'S RED & WHITE,BROCCOLI CHS SOUP,COND'","'CAMPBELL'S RED & WHITE,BROCCOLI CHS SOUP,COND'",,81
2014,"'CAMPBELL'S RED & WHITE,CHICK & STARS SOUP,COND'","'CAMPBELL'S RED & WHITE,CHICK & STARS SOUP,COND'",,56
2015,"'CAMPBELL'S RED & WHITE,CHICK ALPHABET SOUP,COND'","'CAMPBELL'S RED & WHITE,CHICK ALPHABET SOUP,COND'",,56
2016,"'CAMPBELL'S RED & WHITE,CHICK BARLEY W/'","'CAMPBELL'S RED & WHITE,CHICK BARLEY W/'",,71
2017,"'CAMPBELL'S RED & WHITE,CHICK GUMBO SOUP,COND'","'CAMPBELL'S RED & WHITE,CHICK GUMBO SOUP,COND'",,48
2018,"'CAMPBELL'S RED & WHITE,CHICK NOODLEO'S SOUP,COND'","'CAMPBELL'S RED & WHITE,CHICK NOODLEO'S SOUP,COND'",,71
2019,"'CAMPBELL'S RED & WHITE,CHICK VEG SOUP,COND'","'CAMPBELL'S RED & WHITE,CHICK VEG SOUP,COND'",,63
2020,"'CAMPBELL'S RED & WHITE,CRM OF ASPARAGUS SOUP,COND'","'CAMPBELL'S RED & WHITE,CRM OF ASPARAGUS SOUP,COND'",,89
2021,"'CAMPBELL'S RED & WHITE,CRM OF BROCCOLI SOUP,COND'","'CAMPBELL'S RED & WHITE,CRM OF BROCCOLI SOUP,COND'",,73
2022,"'CAMPBELL'S RED & WHITE,CRM OF CELERY SOUP,COND'","'CAMPBELL'S RED & WHITE,CRM OF CELERY SOUP,COND'",,73
2023,"'CAMPBELL'S RED & WHITE,CRM OF ONION SOUP,COND'","'CAMPBELL'S RED & WHITE,CRM OF ONION SOUP,COND'",,81
2024,"'CAMPBELL'S RED & WHITE,CRM OF SHRIMP SOUP,COND'","'CAMPBELL'S RED & WHITE,CRM OF SHRIMP SOUP,COND'",,81
2025,"'CAMPBELL'S RED & WHITE,DOUBLE NOODLE IN CHICK BROTH SOP,COND'","'CAMPBELL'S RED & WHITE,DOUBLE NOODLE IN CHICK BROTH SOP,COND'",,87
2026,"'CAMPBELL'S RED & WHITE,FIESTA NACHO CHS SOUP,COND'","'CAMPBELL'S RED & WHITE,FIESTA NACHO CHS SOUP,COND'",,97
2027,"'CAMPBELL'S RED & WHITE,FRENCH ONION SOUP,COND'","'CAMPBELL'S RED & WHITE,FRENCH ONION SOUP,COND'",,36
2028,"'CAMPBELL'S RED & WHITE,GOLDEN MUSHROOM SOUP,COND'","'CAMPBELL'S RED & WHITE,GOLDEN MUSHROOM SOUP,COND'",,65
2029,"'CAMPBELL'S RED & WHITE,GOLDFISH PASTA W/ CHICK'","'CAMPBELL'S RED & WHITE,GOLDFISH PASTA W/ CHICK'",,63
2030,"'CAMPBELL'S RED & WHITE,GRN PEA SOUP,COND'","'CAMPBELL'S RED & WHITE,GRN PEA SOUP,COND'",,141
2031,"'CAMPBELL'S RED & WHITE,ITALIAN STYLE W'","'CAMPBELL'S RED & WHITE,ITALIAN STYLE W'",,71
2032,"'CAMPBELL'S RED & WHITE,LENTIL SOUP,COND'","'CAMPBELL'S RED & WHITE,LENTIL SOUP,COND'",,111
2033,"'CAMPBELL'S RED & WHITE,MANHATTAN CLAM CHOWDER,COND'","'CAMPBELL'S RED & WHITE,MANHATTAN CLAM CHOWDER,COND'",,48
2034,"'CAMPBELL'S RED & WHITE,MEGA NOODLE IN CHICK BROTH,COND'","'CAMPBELL'S RED & WHITE,MEGA NOODLE IN CHICK BROTH,COND'",,71
2035,"'CAMPBELL'S RED & WHITE,MINESTRONE SOUP,COND'","'CAMPBELL'S RED & WHITE,MINESTRONE SOUP,COND'",,71
2036,"'CAMPBELL'S RED & WHITE,NEW ENGLAND CLAM CHOWDER,COND'","'CAMPBELL'S RED & WHITE,NEW ENGLAND CLAM CHOWDER,COND'",,71
2037,"'CAMPBELL'S RED & WHITE,OLD FASHIONED TOMATO RICE SOUP,COND'","'CAMPBELL'S RED & WHITE,OLD FASHIONED TOMATO RICE SOUP,COND'",,87
2038,"'CAMPBELL'S RED & WHITE,PHINEAS & FERB SOUP,COND'","'CAMPBELL'S RED & WHITE,PHINEAS & FERB SOUP,COND'",,56
2039,"'CAMPBELL'S RED & WHITE,SCOOBY-DOO SOUP,COND'","'CAMPBELL'S RED & WHITE,SCOOBY-DOO SOUP,COND'",,56
2040,"'CAMPBELL'S RED & WHITE,SPLIT PEA W/ HAM & BACON SOUP,COND'","'CAMPBELL'S RED & WHITE,SPLIT PEA W/ HAM & BACON SOUP,COND'",,141
2041,"'CAMPBELL'S RED & WHITE,TOMATO BISQUE,COND'","'CAMPBELL'S RED & WHITE,TOMATO BISQUE,COND'",,103
2042,"'CAMPBELL'S RED & WHITE,VEG SOUP,COND'","'CAMPBELL'S RED & WHITE,VEG SOUP,COND'",,79
2043,"'CAMPBELL'S RED & WHITE,VEGETARIAN VEG SOUP,COND'","'CAMPBELL'S RED & WHITE,VEGETARIAN VEG SOUP,COND'",,71
2044,"'CAMPBELL'S RED&WHITE,25% LESS NA TOMATO SOUP,COND'","'CAMPBELL'S RED&WHITE,25% LESS NA TOMATO SOUP,COND'",,73
2045,"'CAMPBELL'S RED&WHITE,CHICK & DUMPLINGS SOUP,COND'","'CAMPBELL'S RED&WHITE,CHICK & DUMPLINGS SOUP,COND'",,56
2046,"'CAMPBELL'S RED&WHITE,CHICK BROTH,COND'","'CAMPBELL'S RED&WHITE,CHICK BROTH,COND'",,16
2047,"'CAMPBELL'S RED&WHITE,CHICK WON TON SOUP,COND'","'CAMPBELL'S RED&WHITE,CHICK WON TON SOUP,COND'",,40
2048,"'CAMPBELL'S RED&WHITE,CREAMY CHICK NOODLE SOUP,COND'","'CAMPBELL'S RED&WHITE,CREAMY CHICK NOODLE SOUP,COND'",,97
2049,"'CAMPBELL'S SOUP ON THE GO,CHEESY POTATO W/ BACON FLAVOR SOUP'","'CAMPBELL'S SOUP ON THE GO,CHEESY POTATO W/ BACON FLAVOR SOUP'",,43
2050,"'CAMPBELL'S SOUP ON THE GO,CHICK & STARS SOUP'","'CAMPBELL'S SOUP ON THE GO,CHICK & STARS SOUP'",,23
2051,"'CAMPBELL'S SOUP ON THE GO,CHICK W/ MINI NOODLES SOUP'","'CAMPBELL'S SOUP ON THE GO,CHICK W/ MINI NOODLES SOUP'",,26
2052,"'CAMPBELL'S SOUP ON THE GO,CLASSIC TOMATO SOUP'","'CAMPBELL'S SOUP ON THE GO,CLASSIC TOMATO SOUP'",,46
2053,"'CAMPBELL'S SOUP ON THE GO,CREAMY BROCCOLI SOUP'","'CAMPBELL'S SOUP ON THE GO,CREAMY BROCCOLI SOUP'",,52
2054,"'CAMPBELL'S SOUP ON THE GO,CREAMY CHICK SOUP'","'CAMPBELL'S SOUP ON THE GO,CREAMY CHICK SOUP'",,43
2055,"'CAMPBELL'S SOUP ON THE GO,CREAMY TOMATO SOUP'","'CAMPBELL'S SOUP ON THE GO,CREAMY TOMATO SOUP'",,59
2056,"'CAMPBELL'S SOUP ON THE GO,HEALTHY REQUEST CLASSIC TOMAT SOUP'","'CAMPBELL'S SOUP ON THE GO,HEALTHY REQUEST CLASSIC TOMAT SOUP'",,39
2057,"'CAMPBELL'S SOUP ON THE GO,HR CHICK W/ MINI NOODLES SOUP'","'CAMPBELL'S SOUP ON THE GO,HR CHICK W/ MINI NOODLES SOUP'",,20
2058,"'CAMPBELL'S SOUP ON THE GO,NEW ENGLAND CLAM CHOWDER'","'CAMPBELL'S SOUP ON THE GO,NEW ENGLAND CLAM CHOWDER'",,52
2059,"'CAMPBELL'S SOUP ON THE GO,VEG BF SOUP'","'CAMPBELL'S SOUP ON THE GO,VEG BF SOUP'",,20
2060,"'CAMPBELL'S SOUP ON THE GO,VEG W/ MINI RND NOODLES SOUP'","'CAMPBELL'S SOUP ON THE GO,VEG W/ MINI RND NOODLES SOUP'",,33
2061,'CAMPBELL'S TURKEY GRAVY','CAMPBELL'S TURKEY GRAVY',,42
2062,'CAMPBELL'S V8 100% VEG JUC','CAMPBELL'S V8 100% VEG JUC',,21
2063,"'CAMPBELL'S, CHNKY MICRO BOWL,GRLLD CHIC&SAUS GMBO,RTS'","'CAMPBELL'S, CHNKY MICRO BOWL,GRLLD CHIC&SAUS GMBO,RTS'",,57
2064,"'CAMPBELL'S, CHNKY MICRO BOWL,NEW ENGL CLM CHOW,RTS'","'CAMPBELL'S, CHNKY MICRO BOWL,NEW ENGL CLM CHOW,RTS'",,82
2065,"'CAMPBELL'S, CHNKY MICRO BOWLS,CLSSC CHIC NOODL,RTS'","'CAMPBELL'S, CHNKY MICRO BOWLS,CLSSC CHIC NOODL,RTS'",,45
2066,"'CAMPBELL'S, TOMATO JUC,LO NA'","'CAMPBELL'S, TOMATO JUC,LO NA'",,21
2067,"'CAMPBELL'S,25% LESS NA CHICK NOODLE SOUP,COND'","'CAMPBELL'S,25% LESS NA CHICK NOODLE SOUP,COND'",,49
2068,"'CAMPBELL'S,25% LESS NA CRM OF MUSHROOM SOUP,COND'","'CAMPBELL'S,25% LESS NA CRM OF MUSHROOM SOUP,COND'",,89
2069,"'CAMPBELL'S,98% FAT FREE BROCCOLI CHS SOUP,COND'","'CAMPBELL'S,98% FAT FREE BROCCOLI CHS SOUP,COND'",,56
2070,"'CAMPBELL'S,98% FAT FREE CRM OF BROCCOLI SOUP,COND'","'CAMPBELL'S,98% FAT FREE CRM OF BROCCOLI SOUP,COND'",,56
2071,"'CAMPBELL'S,98% FAT FREE CRM OF CELERY SOUP,COND'","'CAMPBELL'S,98% FAT FREE CRM OF CELERY SOUP,COND'",,56
2072,"'CAMPBELL'S,98% FAT FREE CRM OF CHICK SOUP,COND'","'CAMPBELL'S,98% FAT FREE CRM OF CHICK SOUP,COND'",,55
2073,"'CAMPBELL'S,98% FAT FREE CRM OF MUSHROOM SOUP,COND'","'CAMPBELL'S,98% FAT FREE CRM OF MUSHROOM SOUP,COND'",,53
2074,"'CAMPBELL'S,CHEDDAR CHS SOUP,COND'","'CAMPBELL'S,CHEDDAR CHS SOUP,COND'",,84
2075,"'CAMPBELL'S,CHICK W/ RICE SOUP,COND'","'CAMPBELL'S,CHICK W/ RICE SOUP,COND'",,68
2076,"'CAMPBELL'S,CHNKY MICRO BOWLS,BF W/ CONTRY VEG,RTS'","'CAMPBELL'S,CHNKY MICRO BOWLS,BF W/ CONTRY VEG,RTS'",,61
2077,"'CAMPBELL'S,CHUNKY MICRO BOWLS,OLD FASH VEG BF,RTS'","'CAMPBELL'S,CHUNKY MICRO BOWLS,OLD FASH VEG BF,RTS'",,41
2078,"'CAMPBELL'S,CHUNKY MICRO BOWLS,SIRL BRGER W/CNTRY VEG,RTS'","'CAMPBELL'S,CHUNKY MICRO BOWLS,SIRL BRGER W/CNTRY VEG,RTS'",,57
2079,"'CAMPBELL'S,CRM OF CHICK SOUP,COND'","'CAMPBELL'S,CRM OF CHICK SOUP,COND'",,103
2080,"'CAMPBELL'S,CRM OF CHICK W/ HERBS SOUP,COND'","'CAMPBELL'S,CRM OF CHICK W/ HERBS SOUP,COND'",,65
2081,"'CAMPBELL'S,CRM OF MUSHROOM SOUP,COND'","'CAMPBELL'S,CRM OF MUSHROOM SOUP,COND'",,81
2082,"'CAMPBELL'S,CRM OF MUSHROOM W/ RSTD GARLIC SOUP,COND'","'CAMPBELL'S,CRM OF MUSHROOM W/ RSTD GARLIC SOUP,COND'",,56
2083,"'CAMPBELL'S,CRM OF POTATO SOUP,COND'","'CAMPBELL'S,CRM OF POTATO SOUP,COND'",,71
2084,"'CAMPBELL'S,HOMESTYLE CHICK NOODLE SOUP,COND'","'CAMPBELL'S,HOMESTYLE CHICK NOODLE SOUP,COND'",,51
2085,"'CAMPBELL'S,ORGANIC TOMATO JUC'","'CAMPBELL'S,ORGANIC TOMATO JUC'",,21
2086,"'CAMPBELL'S,RED & WHITE,CHICK NOODLE SOUP,COND'","'CAMPBELL'S,RED & WHITE,CHICK NOODLE SOUP,COND'",,47
2087,"'CAMPBELL'S,SPAGHETTIOS ORIGINAL,EASY OPEN'","'CAMPBELL'S,SPAGHETTIOS ORIGINAL,EASY OPEN'",,70
2088,"'CAMPBELL'S,SPAGHETTIOS RAVIOLIOS BF RAVIOLI IN MEAT SAU'","'CAMPBELL'S,SPAGHETTIOS RAVIOLIOS BF RAVIOLI IN MEAT SAU'",,106
2089,"'CAMPBELL'S,SPAGHETTIOS,MINI BF RAVIOLI IN MEAT SAU'","'CAMPBELL'S,SPAGHETTIOS,MINI BF RAVIOLI IN MEAT SAU'",,99
2090,"'CAMPBELL'S,SPAGHETTIOS,SPAGHETTI IN TOMATO & CHS SAU'","'CAMPBELL'S,SPAGHETTIOS,SPAGHETTI IN TOMATO & CHS SAU'",,80
2091,"'CAMPBELL'S,SPAGHETTIOS,SPAGHETTIOS A TO Z'S'","'CAMPBELL'S,SPAGHETTIOS,SPAGHETTIOS A TO Z'S'",,67
2092,"'CAMPBELL'S,SPAGHETTIOS,SPAGHETTIOS A TO Z'S W/ MEATBALLS'","'CAMPBELL'S,SPAGHETTIOS,SPAGHETTIOS A TO Z'S W/ MEATBALLS'",,95
2093,"'CAMPBELL'S,SPAGHETTIOS,SPAGHETTIOS IN MEAT SAU'","'CAMPBELL'S,SPAGHETTIOS,SPAGHETTIOS IN MEAT SAU'",,69
2094,"'CAMPBELL'S,SPAGHETTIOS,SPAGHETTIOS ORIGINAL'","'CAMPBELL'S,SPAGHETTIOS,SPAGHETTIOS ORIGINAL'",,67
2095,"'CAMPBELL'S,SPAGHETTIOS,SPAGHETTIOS PLUS CA'","'CAMPBELL'S,SPAGHETTIOS,SPAGHETTIOS PLUS CA'",,67
2096,"'CAMPBELL'S,SPAGHETTIOS,W/ MEATBALLS -'","'CAMPBELL'S,SPAGHETTIOS,W/ MEATBALLS -'",,87
2097,"'CAMPBELL'S,TOMATO JUC'","'CAMPBELL'S,TOMATO JUC'",,21
2098,"'CAMPBELL'S,TOMATO SOUP,COND'","'CAMPBELL'S,TOMATO SOUP,COND'",,71
2099,"'CAMPBELL'S,VEG BF SOUP,COND'","'CAMPBELL'S,VEG BF SOUP,COND'",,65
2100,"'CAMPBELLS RED & WHITE,BF CONSOMME,COND'","'CAMPBELLS RED & WHITE,BF CONSOMME,COND'",,16
2101,"'CANADA GOOSE,BREAST MEAT,SKINLESS,RAW'","'CANADA GOOSE,BREAST MEAT,SKINLESS,RAW'",,133
2102,"'CANADIAN BACON,CKD,PAN-FRIED'","'CANADIAN BACON,CKD,PAN-FRIED'",,146
2103,"'CANADIAN BACON,UNPREP'","'CANADIAN BACON,UNPREP'",,111
2104,'CANDIED FRUIT','CANDIED FRUIT',,322
2105,"'CANDIES, CARAMELS, CHOCOLATE-FLAVOR ROLL'","'CANDIES, CARAMELS, CHOCOLATE-FLAVOR ROLL'",,387
2106,"'Candies, NESTLE, BUTTERFINGER Crisp'","'Candies, NESTLE, BUTTERFINGER Crisp'",,465
2107,"'CANDIES,5TH AVENUE CANDY BAR'","'CANDIES,5TH AVENUE CANDY BAR'",,482
2108,"'CANDIES,ALMOND JOY CANDY BAR'","'CANDIES,ALMOND JOY CANDY BAR'",,479
2109,"'CANDIES,BUTTERSCOTCH'","'CANDIES,BUTTERSCOTCH'",,391
2110,"'CANDIES,CARAMELLO CANDY BAR'","'CANDIES,CARAMELLO CANDY BAR'",,462
2111,"'CANDIES,CARAMELS'","'CANDIES,CARAMELS'",,382
2112,"'CANDIES,CAROB,UNSWTND'","'CANDIES,CAROB,UNSWTND'",,540
2113,"'CANDIES,CHOC COVERED,CARAMEL W/NUTS'","'CANDIES,CHOC COVERED,CARAMEL W/NUTS'",,470
2114,"'CANDIES,CHOC,DK,NFS (45-59% CACAO SOL 90%; 60-69% CACAO SOL'","'CANDIES,CHOC,DK,NFS (45-59% CACAO SOL 90%; 60-69% CACAO SOL'",,550
2115,"'CANDIES,CONFECTIONER'S COATING,BUTTERSCOTCH'","'CANDIES,CONFECTIONER'S COATING,BUTTERSCOTCH'",,539
2116,"'CANDIES,CONFECTIONER'S COATING,PNUT BUTTER'","'CANDIES,CONFECTIONER'S COATING,PNUT BUTTER'",,529
2117,"'CANDIES,CONFECTIONER'S COATING,YOGURT'","'CANDIES,CONFECTIONER'S COATING,YOGURT'",,522
2118,"'CANDIES,CRISPY BAR W/ PNUT BUTTER FILLING'","'CANDIES,CRISPY BAR W/ PNUT BUTTER FILLING'",,542
2119,"'CANDIES,DIVINITY,PREPARED-FROM-RECIPE'","'CANDIES,DIVINITY,PREPARED-FROM-RECIPE'",,364
2120,"'CANDIES,DK CHOC COATD COFFEE BNS'","'CANDIES,DK CHOC COATD COFFEE BNS'",,540
2121,"'CANDIES,FONDANT,PREPARED-FROM-RECIPE'","'CANDIES,FONDANT,PREPARED-FROM-RECIPE'",,373
2122,"'CANDIES,FRUIT SNACKS,W/ HI VIT C'","'CANDIES,FRUIT SNACKS,W/ HI VIT C'",,352
2123,"'CANDIES,FUDGE,CHOC MARSHMLLW,PREPARED-FROM-RECIPE'","'CANDIES,FUDGE,CHOC MARSHMLLW,PREPARED-FROM-RECIPE'",,453
2124,"'CANDIES,FUDGE,CHOC MARSHMLLW,W/ NUTS,PREPARED-BY-RECIPE'","'CANDIES,FUDGE,CHOC MARSHMLLW,W/ NUTS,PREPARED-BY-RECIPE'",,474
2125,"'CANDIES,FUDGE,CHOC,PREPARED-FROM-RECIPE'","'CANDIES,FUDGE,CHOC,PREPARED-FROM-RECIPE'",,411
2126,"'CANDIES,FUDGE,CHOC,W/ NUTS,PREPARED-FROM-RECIPE'","'CANDIES,FUDGE,CHOC,W/ NUTS,PREPARED-FROM-RECIPE'",,461
2127,"'CANDIES,FUDGE,PNUT BUTTER,PREPARED-FROM-RECIPE'","'CANDIES,FUDGE,PNUT BUTTER,PREPARED-FROM-RECIPE'",,387
2128,"'CANDIES,FUDGE,VANILLA W/ NUTS'","'CANDIES,FUDGE,VANILLA W/ NUTS'",,435
2129,"'CANDIES,FUDGE,VANILLA,PREPARED-FROM-RECIPE'","'CANDIES,FUDGE,VANILLA,PREPARED-FROM-RECIPE'",,383
2130,"'CANDIES,GUM DROPS,DIETETIC OR LO CAL (SORBITOL)'","'CANDIES,GUM DROPS,DIETETIC OR LO CAL (SORBITOL)'",,162
2131,"'CANDIES,GUMDROPS,STARCH JELLY PIECES'","'CANDIES,GUMDROPS,STARCH JELLY PIECES'",,396
2132,"'CANDIES,HALAVAH,PLAIN'","'CANDIES,HALAVAH,PLAIN'",,469
2133,"'CANDIES,HARD'","'CANDIES,HARD'",,394
2134,"'CANDIES,HARD,DIETETIC OR LO CAL (SORBITOL)'","'CANDIES,HARD,DIETETIC OR LO CAL (SORBITOL)'",,394
2135,"'CANDIES,HEATH BITES'","'CANDIES,HEATH BITES'",,530
2136,"'CANDIES,HERSHEY,KIT KAT BIG KAT BAR'","'CANDIES,HERSHEY,KIT KAT BIG KAT BAR'",,520
2137,"'CANDIES,HERSHEY,REESESTICKS CRISPY WAFERS,PNUT BUT,MILK CHOC'","'CANDIES,HERSHEY,REESESTICKS CRISPY WAFERS,PNUT BUT,MILK CHOC'",,521
2138,"'CANDIES,HERSHEY'S GOLDEN ALMOND SOLITAIRES'","'CANDIES,HERSHEY'S GOLDEN ALMOND SOLITAIRES'",,570
2139,"'CANDIES,HERSHEY'S MILK CHOC W/ ALMOND BITES'","'CANDIES,HERSHEY'S MILK CHOC W/ ALMOND BITES'",,568
